,PTY_PROFILE_SUB_TYPE,SOCIO_ECONOMIC_SEGMENT,PARTY_NATIONALITY,PARTY_GENDER_CD,TARGET,YEAR_JOINED,CURRENT_YEAR,BILL_AMOUNT,PAID_AMOUNT,PAYMENT_TRANSACTIONS,PARTY_REV,PREPAID_LINES,POSTPAID_LINES,OTHER_LINES,LINE_REV,STATUS,MOUS_TO_LOCAL_MOBILES,MOUS_FROM_LOCAL_MOBILES,MOUS_TO_LOCAL_LANDLINES,MOUS_FROM_LOCAL_LANDLINES,MOUS_TO_INT_NUMBER,MOUS_FROM_INT_NUMBER,DATA_IN_BNDL,DATA_OUT_BNDL,DATA_USG_PAYG,COMPLAINTS,Years_stayed
0,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,931.2089382,812.175,1,5968.7,2,6,2,945.04,ACTIVE,1004.07,35.85,34.015,72.075,141.84,56.115,11944.0791,0,0,0,25
1,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,431.0826183,486.5,1,6245.141667,6,4,2,493.815,ACTIVE,159.05,10.595,7.715,11.75,5.11,0,9903.157715,0,0,0,25
2,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,50.61964364,52.815,1,1666.488333,2,3,1,50.3,ACTIVE,0,0,0,0,0,0,0.102539063,0,0,0,25
3,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,399.7100344,422.235,1,2522.008333,3,4,3,406.5866667,ACTIVE,288.805,158.5,2.67,15.965,0,0,3600.322266,0,0,0,25
4,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,612.6658443,825.8883333,1,1219.961667,0,2,1,751.185,ACTIVE,209.76,186.05,17.515,28.685,3.235,4.475,3852.026367,0,0,0,25
5,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,45.18714408,41.10666667,1,481.0233333,1,3,1,45.1,ACTIVE,0,0,0,0,0,0,0,0,0,0,25
6,Prestige,EXPATS,Lebanon,M,0,1994,2019,979.8510591,1090.216667,1,1569.468333,0,3,1,1089.481667,ACTIVE,551.905,23.925,46.31,87.015,367.075,59.575,15812.12061,0,0,0,25
7,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,521.7158064,574.4516667,1,2657.863333,2,3,1,552.1716667,ACTIVE,758.825,438.86,87.865,74.97,47.89,0.115,8322.668945,0,0,0,25
8,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,495.7548757,550.285,1,2187.916667,2,5,2,459.495,ACTIVE,592.52,60.125,34.16,63.49,5.055,21.465,1448.62793,0,0,0,25
9,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,479.8397673,506.3333333,1,1272.238333,2,3,1,513.005,ACTIVE,234.85,25.91,34.585,17.945,0,0,8288.71582,0,0,0,25
10,Residential,YOUTH,United Arab Emirates,M,0,1994,2019,138.2032491,122.235,1,5491.433333,0,5,1,153.705,ACTIVE,239.185,20.125,16.135,13.4,0.85,0,5195.37207,0,0,0,25
11,Residential,EXPATS,Jordan,M,0,1994,2019,244.1182323,295.51,1,369.46,1,2,0,347.7283333,ACTIVE,164.82,82.61,6.72,2.85,69.825,0,527.9155273,0,0,0,25
12,Residential,EXPATS,Jordan,M,0,1994,2019,518.2488735,575.9483333,2,590.1683333,0,2,0,540.1683333,ACTIVE,180.085,164.455,9.95,46.85,457.045,16.125,0,0,0,0,25
13,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,18.94334596,24.16666667,1,4369.67,1,5,3,23.16666667,ACTIVE,0,0,0,0,0,0,0,0,0,0,25
14,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,909.3535829,986.3616667,1,2013.335,0,4,0,1069.641667,ACTIVE,752.82,673.365,34.125,88.67,0,0.16,2404.983398,0,0,0,25
15,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,737.77317,577.8333333,1,5174.58,8,4,0,520.7966667,ACTIVE,328.45,16.54,32.685,15.81,0.335,0,3131.449219,0,0,0,25
16,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,270.9085368,283.95,4,2068.623333,2,3,2,276.8133333,ACTIVE,357.335,38.895,34.02,2.14,0,0,38.64257813,0,0,0,25
17,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,266.5022618,267.17,1,623.2116667,3,1,1,245.78,ACTIVE,169.78,8.055,23.5,9.32,11.29,2.39,91.98535156,0,0,0,25
18,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,51.0620474,66.66666667,1,5169.48,7,10,2,50,ACTIVE,0,0,0,0,0,0,0,0,0,0,25
19,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,93.02646267,114.4833333,1,3324.718333,6,3,2,117.7883333,Out Going Bar Confirmed,170.385,67.21,9.14,2.48,0.185,0,94.6875,0,0,0,25
20,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,598.8688418,623,2,1267.451667,1,4,0,631.6283333,ACTIVE,629.36,14.035,36.75,2.395,51.85,0,5089.356445,0,0,0,25
21,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,1453.373403,1507.37,1,1836.615,0,2,1,1415.775,ACTIVE,713.345,359.87,12.865,32.36,122.195,14.05,43725.08545,0,0,0,25
22,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,361.1169251,310.3366667,1,4511.243333,6,6,1,365,Out Going Bar Confirmed,0,0,0,0,0,0,66.11572266,0,0,0,25
23,Residential,EMIRATI,United Arab Emirates,M,0,1994,2019,292.1533975,295.9966667,1,1575.076667,3,4,1,282.6216667,ACTIVE,273.97,4.515,3.5,2.575,0.265,0.015,3529.112305,0,0,0,25
24,Residential,EXPATS,Jordan,M,0,1994,2019,113.9278323,134.8366667,2,442.97,4,3,0,118.075,ACTIVE,41.85,42.87,0,2.725,0,0.01,0,0,0,1,25
25,Prestige,EMIRATI,United Arab Emirates,M,0,1994,2019,412.6665979,735.24,3,1989.041667,5,2,0,725.9,ACTIVE,544.645,32.65,36.865,13.525,0,0.225,19896.74365,0,0,0,25
